# Messwerte von V206 Wärmepumpe
#
# Zeit/min  Pa/bar  T_2/°C  Pb/bar  T_1/°C    Leistung/W
    01        3.4     21.3    05.5     22.6         120
    02        3.6     19.7    06.0     23.8         125
    03        3.6     18.3    06.0     25.6         125
    04        3.6     17.4    06.5     26.6         125
    05        3.4     16.5    07.0     28.1         125
    06        3.2     15.5    07.5     29.5         125
    07        3.1     14.5    08.0     31.0         125
    08        3.0     13.6    08.0     32.3         125
    09        2.9     12.7    08.5     32.5         125
    10        2.8     11,5    09.0     34.9         125
    11        2.6     10.9    09.0     35.9         125
    12        2.6     10.0    09.0     37.0         125
    13        2.4     09.2    09.5     37.9         125
    14        2.4     08.4    10.0     39.0         125
    15        2.3     07.8    10.0     39.9         115
    16        2.2     06.9    10.2     40.8         115
    17        2.2     06.1    10.5     41.6         115
    18        2.1     05.4    11.0     42.6         115
    19        2.1     04.7    11.0     43.3         115
    20        2.0     04.1    11.2     43.9         115
    21        1.9     03.6    11.5     44.6         115
    22        1.9     02.9    12.0     45.5         115
    23        1.9     02.4    12.0     46.1         115
    24        1.8     01.9    12.0     46.7         115
    25        1.8     01.4    12.0     47.4         115
    26        1.8     00.8    12.7     48.0         115
    27        1.7     00.3    13.0     48.6         115
    28        1.7    -00.2    13.0     49.0         115
    29        1.7    -00.4    13.9     49.6         115
    30        1.7    -00.3    14.0     50.0         115


