# Versuch 353 RC-Kreis Messwete
#Aufgabe     4a     4b
#Frequenz/Hz A(w)/V a/s

3.0e+02  1.50e-00  8.00e-01
2.0e+02  1.15e-00  6.00e-01
1.0e+02  9.00e-01  6.00e-01
5.0e+02  6.00e-01  4.00e-01
6.0e+02  5.00e-01  4.00e-01
7.0e+02  4.00e-01  3.00e-01
9.0e+02  3.60e-01  2.20e-01
1.0e+03  3.10e-01  2.20e-01
1.2e+03  2.60e-01  1.90e-01
1.4e+03  2.30e-01  1.60e-01
1.5e+03  2.20e-01  1.60e-01
1.6e+03  2.00e-01  1.40e-01
2.0e+03  1.60e-01  1.10e-01
3.0e+03  1.00e-01  8.00e-02
4.0e+03  8.00e-02  6.00e-02
5.0e+03  6.00e-02  4.50e-02
7.0e+03  4.00e-02  3.20e-02
9.0e+03  3.60e-02  2.80e-02
1.0e+04  3.20e-02  2.50e-02
2.0e+04  1.60e-02  1.30e-02
3.0e+04  1.00e-02  8.00e-03
5.0e+04  6.00e-03  4.12e-03
6.0e+04  5.00e-03  2.20e-03
8.0e+04  3.00e-03  2.16e-03
