#Versuch 354 Gedämpfte und erzw. Schwingungen: Messwerte 
#angelegte Spannung U0 = 10V 
#Frequenz/Hz A(w)/V a/s

2.63e+04 8.50e+00 2.4e-06
2.73e+04 9.00e+00 2.6e-06
2.83e+04 9.50e+00 2.8e-06
2.93e+04 1.00e+01 3.0e-06
3.03e+04 1.05e+01 3.4e-06
3.13e+04 1.15e+01 3.6e-06
3.23e+04 1.20e+01 4.0e-06
3.33e+04 1.25e+01 4.4e-06
3.43e+04 12.75e+00 5.0e-06
3.53e+04 1.30e+01 5.4e-06
3.63e+04 1.30e+01 6.0e-06
3.73e+04 12.75e+00 6.6e-06
3.83e+04 1.25e+01 7.0e-06
3.93e+04 1.15e+01 7.5e-06
4.03e+04 1.10e+01 7.8e-06
4.13e+04 1.00e+01 8.2e-06
4.23e+04 9.50e+01 8.2e-06
4.33e+04 8.50e+01 8.4e-06
4.43e+04 8.00e+01 8.4e-06
